id,folder,architecture,dataset,layer size,depth,activation function,dropout,batch size,learning rate,epochs,loss,radian loss,mse loss,elapsed time
0,models/model000/,lstm,3x,50,5,Tanh,0.44,689,7.079457843841373e-06,200,0.2504107051678002,0.1725460379421711,0.07786466722562908,00:38:02
1,models/model001/,mlp,3x,93,4,Tanh,0.5,157,5.011872336272725e-06,200,0.1524396418691613,0.14723189073801043,0.0052077511311508715,00:30:21
2,models/model002/,mlp,3x,73,4,ReLU,0.18,21,2.1379620895022323e-05,200,0.03679572145943529,0.03214604490995406,0.004649676549481229,00:47:35
3,models/model003/,mlp,3x,98,4,ReLU,0.31,760,0.00015848931924611142,200,0.03718417721800506,0.03253710031509399,0.004647076902911067,00:28:22
4,models/model004/,lstm,3x,62,2,Tanh,0.5,21,2.8840315031266056e-05,200,0.03921246058796534,0.034343629121780406,0.004868831466184932,02:03:22
5,models/model005/,mlp,3x,315,4,LeakyReLU,0.32,803,9.772372209558111e-06,200,0.04090510271047242,0.03477534720301628,0.0061297555074561385,00:35:56
6,models/model006/,mlp,3x,117,3,Tanh,0.31,362,2.5703957827688645e-05,200,0.05803595572290942,0.05305515241622925,0.004980803306680172,00:28:52
7,models/model007/,mlp,3x,448,2,ReLU,0.44,32,5.011872336272725e-05,200,0.03738480669632553,0.03303388357162475,0.004350923124700786,00:41:16
8,models/model008/,lstm,3x,43,3,Tanh,0.12,51,8.51138038202376e-06,200,0.04473696947004646,0.03978283020853996,0.004954139261506497,01:26:47
9,models/model009/,mlp,3x,458,6,Tanh,0.08,59,7.943282347242822e-05,200,0.03613747653202154,0.03184686651825905,0.004290610013762489,00:46:41
10,models/model010/,mlp,3x,30,5,Tanh,0.19,471,0.0007762471166286919,200,0.04122442702855915,0.03626460447907448,0.00495982254948467,00:27:09
11,models/model011/,mlp,3x,62,6,LeakyReLU,0.0,39,0.0003019951720402016,200,0.04028198121464811,0.035697797328233714,0.004584183886414395,00:39:05
12,models/model012/,mlp,3x,17,4,Tanh,0.07,530,1.3489628825916533e-05,200,0.16153145203366875,0.11551961958408355,0.0460118324495852,00:27:12
13,models/model013/,lstm,3x,16,3,ReLU,0.21,330,0.00018620871366628676,200,0.06295972828986124,0.05767109841108323,0.005288629878778011,00:36:06
14,models/model014/,mlp,3x,362,2,ReLU,0.18,73,0.00013803842646028852,200,0.03638776684156619,0.032138583451509474,0.0042491833900567145,00:36:39
15,models/model015/,lstm,3x,26,5,Tanh,0.3,105,5.7543993733715664e-05,200,0.04583643837715499,0.04087435811758041,0.004962080259574577,01:16:57
16,models/model016/,mlp,3x,85,4,Tanh,0.14,515,7.244359600749906e-06,200,0.14550421592080964,0.1389821285009384,0.006522087419871241,00:28:21
17,models/model017/,lstm,3x,138,3,ReLU,0.45,38,1.9498445997580454e-06,200,0.05362255830457435,0.047975978732109084,0.005646579572465269,01:39:06
